Escola,Messias Pedreiro
Serie,3º ANO - ENSINO MÉDIO
Periodo,Período letivo padrão 2024 - 2024
Turma,3a
Situacao,Novo estudante - primeiro cadastro
Estado,Estudante interno - pré rematrícula interna
